iter	Passed	Remaining
196	37996	193456
197	38184	193237
198	38361	192963
199	38559	192796
200	38739	192541
201	38919	192283
202	39106	192064
203	39276	191763
204	39465	191550
205	39653	191336
206	39839	191115
207	40017	190851
208	40205	190639
209	40393	190428
210	40569	190156
211	40755	189936
212	40950	189757
213	41128	189496
214	41311	189266
215	41510	189103
216	41691	188860
217	41858	188555
218	42031	188278
219	42221	188079
220	42403	187843
221	42614	187732
222	42794	187489
223	42972	187236
224	43166	187056
225	43354	186847
226	43545	186652
227	43753	186528
228	43953	186371
229	44148	186192
230	44329	185954
231	44497	185663
232	44661	185353
233	44872	185242
234	45078	185109
235	45262	184884
236	45482	184809
237	45744	184898
238	45976	184866
239	46163	184652
240	46340	184400
241	46523	184171
242	46758	184149
243	46958	183986
244	47147	183779
245	47330	183551
246	47508	183302
247	47690	183068
248	47863	182803
249	48058	182620
250	48243	182403
251	48404	182091
252	48610	181951
253	48805	181773
254	48984	181529
255	49161	181283
256	49348	181071
257	49510	180772
258	49677	180489
259	49843	180203
260	50034	180008
261	50209	179756
262	50417	179622
263	50630	179508
264	50798	179230
265	50976	178993
266	51145	178721
267	51319	178469
268	51487	178196
269	51685	178027
270	51905	177932
271	52061	177622
272	52247	177410
273	52431	177196
274	52631	177031
275	52808	176792
276	52988	176563
277	53148	176271
278	53342	176087
279	53516	175841
280	53704	175638
281	53884	175410
282	54048	175133
283	54222	174887
284	54396	174642
285	54600	174492
286	54781	174269
287	54979	174100
288	55145	173830
289	55358	173709
290	55528	173453
291	55708	173229
292	55886	173001
293	56070	172787
294	56273	172634
295	56471	172468
296	56686	172349
297	56882	172174
298	57070	171973
299	57255	171766
300	57448	171580
301	57636	171381
302	57811	171143
303	57980	170890
304	58141	170610
305	58330	170417
306	58501	170169
307	58692	169980
308	58896	169826
309	59068	169583
310	59271	169429
311	59457	169224
312	59637	169005
313	59824	168803
314	59999	168570
315	60200	168408
316	60366	168150
317	60548	167935
318	60751	167779
319	60939	167584
320	61112	167345
321	61275	167080
322	61476	166920
323	61643	166664
324	61817	166431
325	61987	166187
326	62152	165930
327	62334	165717
328	62506	165481
329	62696	165291
330	62912	165167
331	63112	165006
332	63291	164786
333	63487	164610
334	63679	164425
335	63834	164144
336	64005	163908
337	64187	163698
338	64385	163528
339	64570	163326
340	64753	163117
341	64919	162868
342	65099	162653
343	65272	162422
344	65467	162246
345	65648	162033
346	65820	161801
347	65996	161576
348	66169	161346
349	66336	161103
350	66516	160889
351	66706	160700
352	66916	160560
353	67092	160338
354	67289	160166
355	67459	159931
356	67635	159711
357	67815	159499
358	68006	159313
359	68177	159081
360	68347	158846
361	68540	158664
362	68708	158427
363	68890	158222
364	69065	157998
365	69219	157730
366	69478	157698
367	69951	158150
368	70186	158061
369	70374	157867
370	70572	157694
371	70747	157469
372	70928	157260
373	71116	157063
374	71304	156870
375	71487	156663
376	71677	156472
377	71873	156296
378	72056	156091
379	72240	155887
380	72423	155680
381	72599	155461
382	72787	155267
383	72974	155070
384	73174	154901
385	73359	154701
386	73663	154749
387	73955	154773
388	74147	154585
389	74339	154397
390	74497	154140
391	74693	153960
392	74876	153754
393	75060	153549
394	75239	153336
395	75422	153131
396	75611	152936
397	75816	152775
398	76012	152595
